city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month
JEDDAH,HM No  67118  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,RIMAL,CORN,0.2L,RIMAL CORN 0.2L,101+,2023,6
MAKKAH,HM No  70557  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,RIMAL,VEGETABLE,0.5L,RIMAL VEGETABLE 0.5L ECO,101+,2022,5
RIYADH,HM No  96450  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,NAJMA,VEGETABLE,10L,NAJMA VEGETABLE 10L PREMIUM,41-50,2023,7
JEDDAH,HM No  93531  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,RIMAL,CORN,4.5L,RIMAL CORN 4.5L,51-60,2024,5
AL BAHA,HM No  76764  GS-CENTER-AL BAHA MAIN RD  AL BAHA,DESERT SUN CO,RAWABI,CORN,3L,RAWABI CORN 3L TWIN PACK,41-50,2023,11
JAZAN,HM No  94388  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,RIMAL,VEGETABLE,1L,RIMAL VEGETABLE 1L ECO,91-100,2022,5
TABUK,HM No  63774  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L PLUS,81-90,2023,8
AL BAHA,HM No  64005  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,GULF GOLD,CANOLA,1L,GULF GOLD CANOLA 1L PREMIUM,101+,2023,2
TAIF,HM No  94092  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,HILAL,COCONUT,0.6L,HILAL COCONUT 0.6L,11-20$,2022,8
AL AHSA,HM No  54772  GS-CENTER-AL AHSA MAIN RD  AL AHSA,BLUE OASIS CO,RAWABI,VEGETABLE,0.75L,RAWABI VEGETABLE 0.75L FAMILY PACK,71-80,2023,7
TAIF,HM No  59671  GS-CENTER-TAIF MAIN RD  TAIF,NOVA FOODS,ZAHRA,SUNFLOWER,0.75L,ZAHRA SUNFLOWER 0.75L TWIN PACK,91-100,2023,1
AL KHARJ,HM No  66331  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,SABAYA,COCONUT,10L,SABAYA COCONUT 10L ECO,91-100,2024,10
HAIL,HM No  99496  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,RIMAL,VEGETABLE,1.8L,RIMAL VEGETABLE 1.8L PREMIUM,81-90,2022,12
YANBU,HM No  79495  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,HILAL,CORN,10L,HILAL CORN 10L PREMIUM,81-90,2024,4
TABUK,HM No  78827  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,LARA,COCONUT,1L,LARA COCONUT 1L PLUS,61-70,2024,2
DAMMAM,HM No  59884  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,RAWABI,COCONUT,9L,RAWABI COCONUT 9L TWIN PACK,21-30,2023,7
HAIL,HM No  85560  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,RAWABI,CANOLA,0.75L,RAWABI CANOLA 0.75L ECO,71-80,2024,12
RIYADH,HM No  87728  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,SABAYA,CANOLA,1.5L,SABAYA CANOLA 1.5L PLUS,71-80,2023,9
MAKKAH,HM No  98144  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,SABAYA,COCONUT,1L,SABAYA COCONUT 1L ECO,81-90,2022,7
HAIL,HM No  93835  GS-CENTER-HAIL MAIN RD  HAIL,PALM & GRAIN GROUP,GULF GOLD,SUNFLOWER,0.6L,GULF GOLD SUNFLOWER 0.6L PREMIUM,91-100,2022,7
AL AHSA,HM No  86987  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,ZAHRA,SUNFLOWER,0.6L,ZAHRA SUNFLOWER 0.6L ECO,31-40,2022,5
JAZAN,HM No  71453  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,SABAYA,CORN,1.5L,SABAYA CORN 1.5L ECO,51-60,2023,5
JEDDAH,HM No  80822  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,BAYTNA,CANOLA,1.5L,BAYTNA CANOLA 1.5L TWIN PACK,21-30,2024,1
RIYADH,HM No  66205  GS-CENTER-RIYADH MAIN RD  RIYADH,AL HILAL INDUSTRIES,NAJMA,VEGETABLE,0.6L,NAJMA VEGETABLE 0.6L TWIN PACK,31-40,2023,11
JEDDAH,HM No  86960  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,SABAYA,CORN,10L,SABAYA CORN 10L PLUS,31-40,2024,10
MAKKAH,HM No  97078  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,GULF GOLD,CORN,0.5L,GULF GOLD CORN 0.5L PREMIUM,11-20$,2023,10
AL BAHA,HM No  74596  GS-CENTER-AL BAHA MAIN RD  AL BAHA,PALM & GRAIN GROUP,HILAL,CANOLA,4L,HILAL CANOLA 4L FAMILY PACK,41-50,2022,12
TABUK,HM No  94843  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,RIMAL,CANOLA,1.5L,RIMAL CANOLA 1.5L PREMIUM,71-80,2024,6
JEDDAH,HM No  83158  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,NAJMA,SUNFLOWER,2.9L,NAJMA SUNFLOWER 2.9L,71-80,2023,11
YANBU,HM No  96354  GS-CENTER-YANBU MAIN RD  YANBU,SAHARA EDIBLES,RAWABI,COCONUT,9L,RAWABI COCONUT 9L PREMIUM,51-60,2024,9
YANBU,HM No  80465  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,RIMAL,CORN,1.5L,RIMAL CORN 1.5L TWIN PACK,21-30,2023,8
TAIF,HM No  99183  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L ECO,61-70,2022,8
HAIL,HM No  61917  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,HILAL,CORN,10L,HILAL CORN 10L PLUS,61-70,2023,10
MAKKAH,HM No  68105  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NOVA FOODS,BAYTNA,COCONUT,0.5L,BAYTNA COCONUT 0.5L TWIN PACK,71-80,2023,9
TAIF,HM No  95259  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,SABAYA,SUNFLOWER,10L,SABAYA SUNFLOWER 10L,21-30,2023,4
JAZAN,HM No  95336  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,LARA,VEGETABLE,1.5L,LARA VEGETABLE 1.5L ECO,91-100,2024,6
JAZAN,HM No  98885  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,NOUR,SUNFLOWER,1L,NOUR SUNFLOWER 1L PLUS,51-60,2022,2
MAKKAH,HM No  62621  GS-CENTER-MAKKAH MAIN RD  MAKKAH,DESERT SUN CO,ZAHRA,VEGETABLE,10L,ZAHRA VEGETABLE 10L FAMILY PACK,31-40,2022,4
MAKKAH,HM No  81732  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,RIMAL,VEGETABLE,4L,RIMAL VEGETABLE 4L PLUS,21-30,2022,5
TAIF,HM No  73650  GS-CENTER-TAIF MAIN RD  TAIF,SAHARA EDIBLES,LARA,CANOLA,9L,LARA CANOLA 9L PREMIUM,31-40,2023,1
RIYADH,HM No  86264  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,GULF GOLD,SUNFLOWER,0.5L,GULF GOLD SUNFLOWER 0.5L,101+,2023,8
YANBU,HM No  78866  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,GULF GOLD,CANOLA,1L,GULF GOLD CANOLA 1L ECO,21-30,2022,7
YANBU,HM No  54855  GS-CENTER-YANBU MAIN RD  YANBU,NOVA FOODS,GULF GOLD,COCONUT,10L,GULF GOLD COCONUT 10L PREMIUM,51-60,2022,4
JEDDAH,HM No  86573  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,RIMAL,VEGETABLE,10L,RIMAL VEGETABLE 10L PREMIUM,41-50,2024,7
YANBU,HM No  79014  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RIMAL,SUNFLOWER,1L,RIMAL SUNFLOWER 1L PREMIUM,101+,2022,10
MAKKAH,HM No  56503  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,HILAL,CORN,4.5L,HILAL CORN 4.5L,31-40,2022,3
AL KHARJ,HM No  54919  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,SAHARA EDIBLES,NAJMA,SUNFLOWER,2.9L,NAJMA SUNFLOWER 2.9L FAMILY PACK,101+,2023,5
RIYADH,HM No  65170  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,LARA,SUNFLOWER,0.5L,LARA SUNFLOWER 0.5L FAMILY PACK,41-50,2023,11
AL AHSA,HM No  93331  GS-CENTER-AL AHSA MAIN RD  AL AHSA,AL HILAL INDUSTRIES,RAWABI,CANOLA,3L,RAWABI CANOLA 3L TWIN PACK,31-40,2023,3
JEDDAH,HM No  53908  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,LARA,VEGETABLE,9L,LARA VEGETABLE 9L PREMIUM,51-60,2023,2
YANBU,HM No  95133  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RAWABI,CORN,3L,RAWABI CORN 3L PREMIUM,81-90,2023,2
AL AHSA,HM No  52612  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,NOUR,VEGETABLE,1L,NOUR VEGETABLE 1L,21-30,2022,11
AL AHSA,HM No  88477  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,LARA,VEGETABLE,0.2L,LARA VEGETABLE 0.2L TWIN PACK,81-90,2024,11
YANBU,HM No  68229  GS-CENTER-YANBU MAIN RD  YANBU,SAHARA EDIBLES,RIMAL,SUNFLOWER,4.5L,RIMAL SUNFLOWER 4.5L ECO,21-30,2023,6
JAZAN,HM No  71843  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,ZAHRA,COCONUT,1.5L,ZAHRA COCONUT 1.5L ECO,81-90,2023,11
JAZAN,HM No  99840  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,SABAYA,CANOLA,1.5L,SABAYA CANOLA 1.5L PLUS,61-70,2022,7
AL KHARJ,HM No  50075  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,RAWABI,CANOLA,0.75L,RAWABI CANOLA 0.75L PREMIUM,61-70,2024,8
AL BAHA,HM No  78969  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,HILAL,CORN,3L,HILAL CORN 3L TWIN PACK,51-60,2023,12
YANBU,HM No  57957  GS-CENTER-YANBU MAIN RD  YANBU,NOVA FOODS,RIMAL,COCONUT,9L,RIMAL COCONUT 9L TWIN PACK,51-60,2024,1
AL KHARJ,HM No  76738  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,HILAL,CANOLA,2.9L,HILAL CANOLA 2.9L,31-40,2023,12
TABUK,HM No  83349  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,RAWABI,SUNFLOWER,2.9L,RAWABI SUNFLOWER 2.9L TWIN PACK,81-90,2024,3
JAZAN,HM No  62491  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,ZAHRA,CORN,10L,ZAHRA CORN 10L ECO,61-70,2024,5
RIYADH,HM No  68536  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L ECO,31-40,2023,9
YANBU,HM No  72618  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,BAYTNA,VEGETABLE,1.8L,BAYTNA VEGETABLE 1.8L ECO,61-70,2022,12
TAIF,HM No  87473  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,HILAL,SUNFLOWER,0.2L,HILAL SUNFLOWER 0.2L PLUS,81-90,2024,7
JAZAN,HM No  93495  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,SABAYA,CANOLA,0.6L,SABAYA CANOLA 0.6L PREMIUM,101+,2023,2
YANBU,HM No  56534  GS-CENTER-YANBU MAIN RD  YANBU,BLUE OASIS CO,NAJMA,COCONUT,1.8L,NAJMA COCONUT 1.8L FAMILY PACK,31-40,2022,8
TABUK,HM No  72187  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,ZAHRA,CORN,4.5L,ZAHRA CORN 4.5L PREMIUM,71-80,2023,11
MAKKAH,HM No  99768  GS-CENTER-MAKKAH MAIN RD  MAKKAH,BLUE OASIS CO,BAYTNA,CANOLA,4L,BAYTNA CANOLA 4L,41-50,2024,11
TABUK,HM No  64908  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,RAWABI,CANOLA,10L,RAWABI CANOLA 10L FAMILY PACK,21-30,2023,3
MAKKAH,HM No  69625  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NOVA FOODS,NAJMA,CORN,10L,NAJMA CORN 10L,51-60,2023,6
JAZAN,HM No  59540  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,BAYTNA,SUNFLOWER,4L,BAYTNA SUNFLOWER 4L FAMILY PACK,31-40,2022,3
JEDDAH,HM No  89943  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,RIMAL,COCONUT,2.9L,RIMAL COCONUT 2.9L PREMIUM,31-40,2022,8
AL BAHA,HM No  66644  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,LARA,CANOLA,10L,LARA CANOLA 10L ECO,51-60,2024,9
DAMMAM,HM No  54840  GS-CENTER-DAMMAM MAIN RD  DAMMAM,BLUE OASIS CO,NOUR,VEGETABLE,1L,NOUR VEGETABLE 1L FAMILY PACK,71-80,2024,5
YANBU,HM No  69799  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,RAWABI,SUNFLOWER,0.5L,RAWABI SUNFLOWER 0.5L TWIN PACK,71-80,2024,6
AL AHSA,HM No  69390  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,NAJMA,SUNFLOWER,1L,NAJMA SUNFLOWER 1L,101+,2024,12
RIYADH,HM No  89741  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,LARA,COCONUT,4L,LARA COCONUT 4L PLUS,41-50,2024,4
AL AHSA,HM No  66425  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,ZAHRA,CANOLA,1L,ZAHRA CANOLA 1L ECO,11-20$,2024,6
MAKKAH,HM No  58612  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,LARA,CORN,9L,LARA CORN 9L ECO,31-40,2022,3
AL KHARJ,HM No  73976  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,NAJDI CONSUMER,GULF GOLD,CORN,2.9L,GULF GOLD CORN 2.9L PLUS,61-70,2022,8
JEDDAH,HM No  59224  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,RAWABI,VEGETABLE,1.5L,RAWABI VEGETABLE 1.5L,71-80,2022,5
AL KHARJ,HM No  58099  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,NOUR,CORN,4L,NOUR CORN 4L ECO,61-70,2022,11
TAIF,HM No  80898  GS-CENTER-TAIF MAIN RD  TAIF,NOVA FOODS,RIMAL,VEGETABLE,1.5L,RIMAL VEGETABLE 1.5L PREMIUM,41-50,2024,2
AL BAHA,HM No  80426  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,RAWABI,CANOLA,0.6L,RAWABI CANOLA 0.6L,11-20$,2023,8
JEDDAH,HM No  56369  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,BAYTNA,COCONUT,1.8L,BAYTNA COCONUT 1.8L ECO,61-70,2024,12
MAKKAH,HM No  85402  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,RIMAL,COCONUT,1.8L,RIMAL COCONUT 1.8L FAMILY PACK,21-30,2023,10
JAZAN,HM No  68333  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,NOUR,COCONUT,2.9L,NOUR COCONUT 2.9L ECO,41-50,2023,2
AL BAHA,HM No  74073  GS-CENTER-AL BAHA MAIN RD  AL BAHA,DESERT SUN CO,NAJMA,SUNFLOWER,1L,NAJMA SUNFLOWER 1L TWIN PACK,21-30,2023,2
AL BAHA,HM No  63900  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,NAJMA,CORN,0.75L,NAJMA CORN 0.75L TWIN PACK,101+,2022,2
AL KHARJ,HM No  63576  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,AL HILAL INDUSTRIES,HILAL,CORN,10L,HILAL CORN 10L TWIN PACK,101+,2022,5
DAMMAM,HM No  58519  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,GULF GOLD,CANOLA,4.5L,GULF GOLD CANOLA 4.5L,31-40,2022,6
TAIF,HM No  88591  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,NAJMA,COCONUT,1L,NAJMA COCONUT 1L,31-40,2024,7
AL KHARJ,HM No  57448  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,SABAYA,SUNFLOWER,10L,SABAYA SUNFLOWER 10L PLUS,91-100,2024,2
YANBU,HM No  83019  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,RIMAL,CANOLA,9L,RIMAL CANOLA 9L FAMILY PACK,91-100,2023,8
